,Labels,path
27,گندے اور پرانے تھے کھانا اچھا نہیں تھا,textbox_14_line_2_.png
28,ہوٹل کے کمرے کی صفائی کا خاص خیال رکھا گیا,textbox_15_line_2_.png
29,ہوٹل کا سٹاف نہایت خوشگوار ہے,textbox_15_line_3_.png
30,ہوٹل کا عملہ کافی دوستانہ ہے ہوٹل سے,textbox_16_line_1_.png
31,جھیل کا منظر خوبصورت نظر آتا ہے,textbox_16_line_2_.png
32,ہوٹل کا کھانا معیاری اور بہت مزے کا تھا,textbox_17_line_1_.png
33,ہوٹل کا اسٹاف خوشگوار اور دوستانہ تھا,textbox_17_line_2_.png
34,صبح کے وقت واش روم میں گرم پانی نہیں آرہا تھا,textbox_18_line_1_.png
35,میں نے گرم پانی کے لیے ہوٹل کا رینٹ زیادہ دیا,textbox_18_line_2_.png
36,ہوٹل کا سٹاف اور عملہ نہایت دوستانہ ہے ,textbox_19_line_1_.png
37,مجھے ہر قسم کی سہولت فراہم کی گئی,textbox_19_line_2_.png
38,ہوٹل جھیل کنارے واقع ہے ہوٹل کا منظر,textbox_20_line_1_.png
39,خوبصورت ہے ہوٹل سٹاف کا رویہ اچھا ہے ,textbox_20_line_2_.png
40,ہوٹل کا عملہ بہت اچھا تھا ہوٹل صاف تھا ہوٹل کا کمرہ,textbox_21_line_1_.png
41,کھلا اور روشن تھا کمرے کی صفائی کا خاص خیال تھا,textbox_21_line_2_.png
42,میں نے دو دن پہلے بکنگ کروائی تھی لیکن اس,textbox_22_line_1_.png
43,کے باوجود میرا کمرہ کسی اور کو دے دیا گیا,textbox_22_line_2_.png
44,ہوٹل کی سروس نہایت خراب ہے صفائی کا کوئی,textbox_23_line_1_.png
45,خیال نہیں ہوٹل کے کمرے چھوٹے ہیں,textbox_23_line_2_.png
46,ہوٹل کی کھڑکی نہیں کھلتی صبح کے وقت گرم پانی,textbox_24_line_1_.png
47,نہیں آتا ہوٹل کے کمرے تنگ ہیں,textbox_24_line_2_.png
48,ہوٹل میں عملہ موجود نہ تھا ہوٹل کے کمرے روشن,textbox_25_line_1_.png
49,تھے ہوٹل میں گرم پانی نہ تھا,textbox_25_line_2_.png
50,ہوٹل میں صفائی کا خاص خیال رکھا گیا ہے,textbox_26_line_1_.png
51,میری کوئی شکایت نہیں ہے میں پھر آؤں گا,textbox_26_line_3_.png
52,شام کے وقت چائے کا آڈر دیا تھا لیکن چائے پھر,textbox_27_line_1_.png
53,بھی نہ آئی ہوٹل کا عملہ سست ہے,textbox_27_line_2_.png
54,ہوٹل میں میری تمام ضروریات کا خیال رکھا,textbox_28_line_1_.png
55,گیا ہوٹل کا سٹاف قابل اور اچھا ہے ,textbox_28_line_2_.png
56,ہوٹل کی بلڈنگ کافی پرانی ہے ہوٹل میں گرم,textbox_29_line_1_.png
57,پانی کی سہولت موجود نہیں ہے,textbox_29_line_2_.png
58,ہوٹل کا کھانا مزے کا تھا ہمیں مفت میں چاہے,textbox_30_line_1_.png
59,بھی پلائی گئی سٹاف نہایت دوستانہ ہے,textbox_30_line_2_.png
60,ہوٹل کا واش روم صاف نہیں تھا ہوٹل کا کوئی,textbox_31_line_1_.png
61,خیال نہیں رکھا گیا تھا رینٹ بہت زیادہ ہے,textbox_31_line_2_.png
62,ہوٹل کا عملہ دوستانہ ہے ہمارا سامان گاڑی سے,textbox_32_line_1_.png
63,کمرے تک پہنچا دیا گیا ہمیں مفت میں چائے پلائی,textbox_32_line_2_.png
64,ہوٹل بہت عمدہ ہے حملہ بہت اچھا ہے سٹاف کا,textbox_33_line_1_.png
65,رویہ دوستانہ ہے کمرے صاف اور روشن ہیں,textbox_33_line_2_.png
66,ہوٹل کا سٹاف اچھا نہیں ہے ہمیں بہت انتظار,textbox_34_line_2_.png
67,کروایا میں دوبارہ اس ہوٹل میں نہیں آؤں گا,textbox_34_line_3_.png
68,میں نے ہوٹل میں دو کمروں کی بکنگ کروائی,textbox_35_line_1_.png
69,ہوٹل آکر مجھے صرف ایک کمرہ دیا گیا,textbox_35_line_2_.png
70,ہوٹل دیکھنے میں بہت خوبصورت ہے ہوٹل کا,textbox_36_line_1_.png
71,احاطہ کافی بڑا ہے ہوٹل کا کھانا لذیذ ہے,textbox_36_line_2_.png
72,ہوٹل کا کھانا مز کا تھا ہوٹل کا کھانا,textbox_37_line_1_.png
73,معیاری تھا ہوٹل کا ماحول خوشگوار تھا,textbox_37_line_2_.png
74,ہوٹل کی پارکنگ بہت بڑی ہے ہوٹل کی سکیوڑٹی,textbox_38_line_1_.png
75,کا نظام بہت اچھا ہے ہوٹل کا کھانا عمدہ ہے,textbox_38_line_2_.png
76,ہوٹل کی سہولیات رینٹ کے مطابق کم ہیں,textbox_39_line_1_.png
77,ہوٹل کا رینٹ بہت زیادہ ہے,textbox_39_line_2_.png
